Doctype:	Reference				
Language:	Aché, ISO: guq				
Source:	Rößler, Eva-Maria. 2008. Aspectos da gramática achê: Descrição e reflexão sobre uma hipótese de contato.				
Data inputter:	Teela Huff				
Summary:	Rößler analyzes nasality alternations in Aché as mainly due to underlying nasal vowels, which trigger processes of local nasalization affecting voiced oral stops, and also identifies one local nasalization process where a root final nasal vowel causes the following suffix initial voiced stops to prenasalize (p. 55).  Rößler also identifies an optional process by which what she analyses as underlying voiced oral stops prenasalize either word intially, or when they occur between oral vowels. She explicitly states that Aché lacks long distance nasal harmony. Rößler analysis draws in part on that of Sammons (1977).   Rößler also makes some phonetic observations. These include: 1) that the nasal portion of [ND]s is very brief (p.45); 2) that the language may exhibit circum-oralized allophones (e.g., [bmb and dnd]), but that she was not able to collect clear enough acoustic data to definitively evaluate this hypothesis (p. 39, footnote 25; note that Spectrogram 6, which she provides in Annex 1 to support this idea, does not provide clear evidence one way or the other); and 3) the allophonic variation between {p,ɸ} is only observed in one dialect of Achê, the northern dialect.				
Notes:					
Include in SAPhon:	Yes				
					
Segments	{T, p, t, tʃ, k}, {D, b, d, dʒ, ɡ}, {Z, β}  {N, m}, {ND, ndʒ}, {R, ɾ, j, w}, {V, i, e, ɨ, a, u, o}, {Ṽ, ĩ, ẽ, ɨ̃, ã, ũ, õ}				
Allophones:	{{i, i}, {e, {e, ɛ}, @, ɛ-lowering}, {ɨ, ɨ}, {a, a}, {u, u}, {o, {o,ɔ}, @, ɔ-lowering}, {ĩ, ĩ}, {ẽ, ẽ}, {ɨ̃, ɨ̃}, {ã, ã}, {ũ, ũ}, {õ, õ}, {p, p}, {b, b}, {b, w, $*V_V, lenition}, {t, t}, {p, b, Ṽ+_,  voicing}, {t, d, Ṽ+_, voicing}, {k, ɡ, Ṽ+_, voicing}, {tʃ, dʒ, Ṽ+_, voicing}, {b, mb, Ṽ+_, XMP=LN:D}, {d, nd, Ṽ+_, XMP=LN:D}, {dʒ, ɲdʒ, Ṽ+_, XMP=LN:D}, {ɡ, ŋɡ, Ṽ+_, XMP=LN:D}, {d, d}, {k, k}, {ɡ, ɡ}, {ɡ, ɣ, $*V_V, lenition}, {b, mb, Ṽ_V, LN:DZ}, {d, nd, Ṽ_V, LN:DZ}, {dʒ, ɲdʒ, Ṽ_V, LN:DZ}, {ɡ, ŋɡ, Ṽ_V, LN:DZ}, {b, m, _Ṽ, LN:DtoM}, {d, n, _Ṽ, LN:DtoM}, {ɡ, ŋ, _Ṽ, LN:DtoM}, {ɾ, {n,ɾ}, _Ṽ, n-LN:r}, {j, ɲ, Ṽ_Ṽ, LN:j}, {b, {b, mb}, #_, mb-BN}, {d, {d, nd}, #_, nd-BN}, {b, {b, mb}, V$'_V, mb-SN}, {d, {d, nd}, V$'_V, nd-SN}, {tʃ, tʃ}, {dʒ, dʒ}, {p, ɸ, US, lenition}, {β, β}, {w, v}, {w, w}, {ɾ, ɾ}, {j, j}}				
Page numbers:	31, 39, 56, 57				
Analytical framework:	Autosegmental				
Morpheme IDs:	None				
					
Page numbers:	55				
Process name:	XMP=LN:D				
Process type:	XMP=LN				
Prose description:	root final Ṽ triggers prenasalization in initial D, Z of following monosyllabic suffix				
	Optionality:		Categorical		
	Directionality:		Rightward		
	Alternation type:		Morphophonological		
	Undergoers:		b, d, dʒ, ɡ, β		
		Type:			Segmental
		Morpheme class:			{Suffix}
		Morpheme IDs:			None
		Positional restriction:			{suffix, initial}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			{Root}
		Morpheme IDs:			None
		Positional restriction:			{root, final}
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:	55				
Process name:	LN:DZ				
Process type:	LN				
Prose description:	D, Z are prenasalized after a nasal vowel and before an oral vowel in a root				
	Optionality:		Categorical		
	Directionality:		Rightward		
	Alternation type:		Phonological		
	Undergoers:		b, d, dʒ, ɡ, β		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root}
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:	55-56				
Process name:	LN:DtoM				
Process type:	LN				
Prose description:	full nasalization of D preceding nasal V within the root				
	Optionality:		Categorical		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		b, d, dʒ, ɡ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root}
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:	47				
Process name:	LN:j				
Process type:	LN				
Prose description:	full nasalization of /j/ into /ɲ/ between two nasal vowels				
	Optionality:		Categorical		
	Directionality:		Circumdirectional		
	Alternation type:		Phonological		
	Undergoers:		j		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root+suffix}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root+suffix}
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:		51			
Process name:	LN:r				
Process type:	LN				
Prose description:	optional realization of /ɾ/ as /n/ before a nasal vowel				
	Optionality:		Optional		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		ɾ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:	46				
Process name:	BN				
Process type:	BN				
Prose description:	Optional prenasalization of /b, d/ word-initially				
	Optionality:		Optional		
	Directionality:		NA		
	Alternation type:		Phonological		
	Undergoers:		b,d		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{word, initial}
	Triggers:		NA		
		Type:			NA
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			NA
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:	46				
Process name:	SN				
Process type:	SN				
Prose description:	Optional prenasalization of /b, d/ in the onset of a stressed syllable (surrounded by oral vowels)				
	Optionality:		Optional		
	Directionality:		NA		
	Alternation type:		Phonological		
	Undergoers:		b,d		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{stressed syllable, onset} 
	Triggers:		None		
		Type:			NA
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			NA
	Transparencies:		NA		
	Opacities:		NA		
					
Doctype:	Reference				
Language:	Aché, ISO: guq				
Source:	SAMMONS, Ruth. Phonetic-phonemic description of Aché Indian language as observed thus far. (working paper) Asunción: New Tribes Mission. 1977.				
Data inputter:	Teela Huff				
Summary:	We were unable to obtain Sammons (1977); the information given here was taken from Rößler's (2008) summary of this older piece.				
Notes:					
Include in SAPhon:	No, since we were unable to obtain the original souce.				
					
Segments	{{T, p, t, k}, {D, b, d, ɡ}, {Z, dʒ, v}, {S, tʃ}, {N, m, n, ɲ, ŋ}, {ND, ndʒ}, {R, ɾ, w}, {V, i, e, ɨ, a, u, o}, {Ṽ, ĩ, ẽ, ɨ̃, ã, ũ, õ}}				
Allophones:	{{i, i}, {e, {e,ɛ}, @, ɛ-lowering}, {a, a}, {ɨ, ɨ}, {u, u}, {o, {o,ɔ}, @, ɔ-lowering}, {ĩ, ĩ}, {ẽ, ẽ}, {ã, ã}, {ɨ̃, ɨ̃}, {ũ, ũ}, {õ, õ}, {p, p}, {b, b}, {t, t}, {d, d}, {k, k}, {ɡ, ɡ}, {m, m}, {n, n}, {ɲ, ɲ}, {ŋ, ŋ}, {b, {b, mb}, Ṽ_V, mb-LN:DtoND}, {d, {d,nd}, Ṽ_V, nd-LN:DtoND}, {dʒ, {dʒ, ndʒ}, Ṽ_V, ndʒ-LN:DtoND}, {ɡ, {ɡ,ŋɡ}, Ṽ_V, ŋɡ-LN:DtoND}, {b, m, _Ṽ, LN:DtoN}, {d, n, _Ṽ, LN:DtoN}, {ɡ, ŋ, _Ṽ, LN:DtoN}, {dʒ, ɲ, _Ṽ, LN:DtoN}, {ɾ, ɾ}, {v, v}, {tʃ, tʃ}, {dʒ, dʒ}, {w, w}}				
	Page numbers:		34		
Analytical framework:		Autosegmental			
Morpheme IDs:	None				
					
Page numbers:	43				
