Doctype:	Reference					
Language:	Avá-Canoeiro [avv_gos] (avá-canoeiro goiás)					
Source:	Borges, Mônica V. 2006. Aspectos fonológicos e morfossintáticos da língua Avá-Canoeiro (Tupi-Guarani). Universidade Estadual de Campinas, Instituto de Estudos da Linguagem. Doctoral dissertation.					
Data inputter:	Sebastian Clendenning-Jimenez					
Summary:	Borges addresses two varieties of Avá-Canoeiro: Tocantins and Goiás, spoken in their respective states. The Goiás variety is included in this summary, while the Tocantins variety is included in a separate sheet. Nasal-oral alternations are identical across both varieties with the exception of (1) optional (post)-oralization of /m, n/ to [m~mb~b, n~nd~d] syllable-initially before an oral vowel, which is restricted to the Tocantins variety.  For the Goiás variety, Borges proposes underlying nasal consonants and contrastive oral and nasal vowels. Four processes are posited: (1) bidirectional LN, optional nasalization of /ɾ/ to [ɾ̃] before or after a nasal vowel. Borges notes that this process occurs mainly in stressed syllables (p. 85-86); (2) bidirectional LN, nasalization of glides /w, j/ to [w̃, j̃~ɲ] before or after a nasal vowel, primarily in stressed syllables. This process and the one before it have been separated based on the fact that the Borges claims nasalization of tap is optional; (3) leftward LN, /m, n, ŋ/ trigger nasalization of preceding oral vowels (p. 90-91); (4) rightward MPP, the final nasal vowel of a root triggers nasalization of the locative suffix {-pe} to {-m}  (p. 124-125).  For the nasalization of approximants, there are some forms within Borges' data that can't be derived using the LN rules the author proposes, which suggests that there might be an LDNH rule in Avá-Canoeiro that affects approximants and vowels; this possible rule is not addressed by Borges.					
Notes:	Avá-Canoeiro contains contrastive nasal vowels as well as oral vowels that can be nasalized. Borges notes that there are 22 speakers of Avá-Canoeiro and most of them live in the village of Canoanã (p. 20) in the state of Tocantins. The author cites Paiva's (1996) phonemic inventory, but proposes her own analysis.   Aspiration of voiceless obstruents in stressed syllables or word-initially seems to be optional (p. 81) and occurs in conditioned free variation with stops with schwa excrescence.  Borges notes that contrary to the other languages of Subgroup IV, Avá-Canoeiro does not contain the glottal stop [ʔ] in its inventory.   For the allophones of /w/, [ɢʷ] is used in careful speech while [w] is used in fast speech (p. 87).   Vowels are lengthened in stressed syllables.					
Include in SAPhon:	Yes					
						
Natural classes:	{T, p, t, tʃ, k, kʷ}, {N, m, n, ŋ}, {Z, ʁ}, {R, ɾ, w, j}, {V, i, ɨ, e, a, o, u}, {Ṽ, ĩ, ɨ̃, ẽ, ã, õ, ũ}					
Allophones:	{{p, p}, {t, t}, {k, k}, {kʷ, kʷ}, {m, m}, {n, n}, {ŋ, ŋ}, {tʃ, tʃ}, {ʁ, ʁ}, {ɾ, {ɾ, l}, @, l-lateralization}, {w, {w, ɢʷ}, @, ɢʷ-fortition}, {j, j}, {i, i}, {ɨ, ɨ}, {e, e}, {a, a}, {o, o}, {u, u}, {ĩ, ĩ}, {ɨ̃, ɨ̃}, {ẽ, ẽ}, {ã, ã}, {õ, õ}, {ũ, ũ}, {∅, ə, T_#, vowel epenthesis}, {p, {p, pʰ}, {#, $'}_, pʰ-consonant aspiration}, {t, {t, tʰ}, {#, $'}_, tʰ-consonant aspiration}, {k, {k, kʰ}, {#, $'}_, kʰ-consonant aspiration}, {p, p̚, _#, unreleasing}, {t, t̚, _#, unreleasing}, {k, k̚, _#, unreleasing}, {t, tʃ, _{i, ĩ, u}, palatalization}, {k, q, _{o, õ, u, ũ}, uvularization}, {ʁ, {ʁ, ɡ, ɢ}, @, {ɡ-fortition, ɢ-fortition}}, {w, w̃, {_Ṽ, Ṽ_}, LN:G}, {ɾ, {ɾ, ɾ̃}, {_Ṽ, Ṽ_}, ɾ̃-LN:ɾ}, {j, {j̃, ɲ}, {Ṽ_, _Ṽ}, {j̃-LN:G, ɲ-LN:G}}, {j, {j, ʎ}, V_V, ʎ-lateralization}, {w, {w, β}, @, β-fortition}, {j, {ʒ, dʒ}, _V, {ʒ-fortition, dʒ-fortition}}, {tʃ, {tʃ, ʃ, ʒ, j}, @, {ʃ-lenition, ʒ-lenition, ʒ-voicing, j-lenition}}, {i, {ĩ, ɪ̃}, _{m, n, ŋ}, {ĩ-LN:VtoṼ, ɪ̃-LN:VtoṼ}}, {ɨ, ə̃, _{m, n, ŋ}, LN:VtoṼ}, {e, ẽ, _{m, n, ŋ}, LN:VtoṼ}, {a, ə̃, _{m, n, ŋ}, LN:VtoṼ}, {o, {õ, ʊ̃}, _{m, n, ŋ}, {õ-LN:VtoṼ, ʊ̃-LN:VtoṼ}}, {u, ʊ̃, _{m, n, ŋ}, LN:VtoṼ}, {e, ɛ, $'_, lowering}, {o, ɔ, $'_, lowering}, {i, ɪ, $*_, centralization}, {ɨ, ə, $*_, lowering}, {u, ʊ, $*_, centralization}, {e, {e, ɪ}, $*_, ɪ-raising}, {o, {o, ʊ}, $*_, ʊ-raising}, {a, {a, ə}, $*_, ə-centralization}, {i, j, {#, V}_, gliding}, {u, w, V_, gliding}, {i, iː, $'_, lengthening}, {ĩ, ĩː, $'_, lengthening}, {ɨ, ɨː, $'_, lengthening}, {ɨ̃, ɨ̃ː, $'_, lengthening}, {e, eː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {u, uː, $'_, lengthening}, {ũ, ũː, $'_, lengthening}, {o, oː, $'_, lengthening}, {õ, õː, $'_, lengthening}, {a, aː, $'_, lengthening}, {p, m, Ṽ_, ONAllm:ptom}}					
