Doctype:	Reference					
Language:	Guajá [gyr_car] (Guajá do Caru)					
Source:	Nascimento, Ana Paula Lion Mamede. 2008. Estudo fonético e fonológico da língua Guajá. Universidade de Brasília.					
Data inputter:	Teela Huff					
Summary:	Nascimento proposes underlying Ṽ and N. The author proposes 3 phonological rules: (1) leftward LDNH triggered by stressed nasal Ṽ with unstressed V and {w,ɾ,j,m,n} as undergoers and T as transparent segments; (2) local nasalization triggered by nasals /m,n/, with both preceding and following vowels as undergoers; (3) some morphemes alternate between oral-nasal allomorphs in the presence of another morpheme containing a nasal consonant, e.g. ari > ani in the presence of the circumfix n-...-j. 					
Notes:	Spontaneous voicing rule for stops p.44 and variation appears to be intervocalic in some forms, rule p.34 saying that aspiration is caused by vowel reduction, but then the data for all of the aspirated allophones shows not reduced vowels (currently aspirated consonants in allophones section have NA for the process). Vowel harmony process on p. 35. Nascimento indicates contrastive nasal vowels with the following diacritic Ṽ, while oral vowels that are nasalized with the following notation: V̰ (p. ix). It seems, based on the complementary distribution, that /w/ is devoiced word-initially. However, no analysis or discussion is provided about this complementary distribution by the author (but see the data on p. 10).  The author notes the following on where fieldwork was conducted: "Realizei o trabalho de campo durante o mês de fevereiro de 2007, na T.I. Caru, nos Postos Indígenas Tiracambu e Awá" (p. 2).  The [ani] ~ [ari] altenation has been regarded as a purely morphological alteration and not included in the database, namely because we are observing [ani] and not [*ãni], whereby it would be counterintuitive to explain a vowel transparent to the nasal harmony. 					
Include in SAPhon:	Yes					
						
Natural classes:	{V, i, e, ɨ, a, u, o}, {Ṽ, ĩ, ẽ, ã, ɨ̃, ũ, õ}, {T, p, t, tʃ, k, kʷ}, {S, h, ʔ}, {R, w, ɾ, j}, {N, m, n}					
Allophones:	{{n, n}, {p, {p,b}, @, b-voicing}, {p, pʰ, US, consonant aspiration}, {t, {t,d}, @, d-voicing}, {t, tʰ, US, consonant aspiration}, {tʃ, {tʃ,dʒ}, @, dʒ-voicing}, {tʃ, tʃʰ, US, consonant aspiration}, {k, {k,ɡ}, @, ɡ-voicing}, {k, kʰ, US, consonant aspiration}, {kʷ, {kʷ,ɡʷ}, @, ɡʷ-voicing}, {kʷ, kʷʰ, US, consonant aspiration}, {p, {m,p}, &, MPP=m-LDNH:pm}, {w, {w̃, m}, &, {w̃-LDNH, m-LDNH}}, {w, w̥, US, devoicing}, {w, β, US, fortition}, {ɾ, ɾ}, {ɾ, {ɾ̃,n}, &, {ɾ̃-LDNH, n-LDNH}}, {j, {j̃,ɲ}, &, {j̃-LDNH, ɲ-LDNH}}, {h, h}, {ʔ, ʔ}, {i, {i,e,ɪ}, @, {e-lowering, ɪ-lowering}}, {i, ĩ, &, LDNH}, {e, {e,ɛ}, @, ɛ-lowering}, {e, ẽ, &, LDNH}, {ɨ, ɨ̃, &, LDNH}, {a, ã, &, LDNH}, {a, ɐ, ˈ$_$, ɐ-backing}, {a, a̘, j_, fronting}, {u, {u,o,ʊ}, @, {o-lowering, ʊ-lowering}}, {u, ũ, &, LDNH}, {o, {o,ɔ}, @, ɔ-lowering}, {o, ɑ, {$_$'{ʔɔ, hɔ},w_}, lowering}, {o, õ, &, LDNH}, {ĩ, ĩ}, {ẽ, ẽ}, {ɨ̃, {ɨ̃,ə̃}, @, ə̃-centralization}, {ã, ã}, {ũ, ũ}, {õ, {õ,ũ}, @, ũ-raising}, {i, {i, i̥}, $'$*_#, i̥-devoicing}, {ɨ, {ɨ, ɨ̥}, $'$*_#, ɨ̥-devoicing}, {a, {ɐ, ɐ̥}, $'$*_#, {ɐ-backing, ɐ̥-devoicing}}, {e, {e, e̥}, $'$*_#, e̥-devoicing}, {u, {u, u̥}, $'$*_#, u̥-devoicing}, {o, {o, o̥}, $'$*_#, o̥-devoicing}, {ĩ, {ĩ, ĩ̥}, $'$*_#, ĩ̥-devoicing}, {ɨ̃, {ɨ̃, ɨ̥̃}, $'$*_#, ɨ̥̃-devoicing}, {ã, {ɐ̃, ɐ̥̃}, $'$*_#, {ɐ̃-backing, ɐ̥̃-devoicing}}, {ẽ, {ẽ, ẽ̥}, $'$*_#, ẽ̥-devoicing}, {ũ, {ũ, ũ̥}, $'$*_#, ũ̥-devoicing}, {o, {o, õ̥}, $'$*_#, õ̥-devoicing}, {i, {i, ḭ}, {_ʔ,ʔ_}, ḭ-glottal constriction}, {ɨ, {ɨ, ɨ̰}, {_ʔ,ʔ_}, ɨ̰-glottal constriction}, {a, {ɐ, ɐ̰}, {_ʔ,ʔ_}, {ɐ-backing, ɐ̰-glottal constriction}}, {e, {e, ḛ}, {_ʔ,ʔ_}, ḛ-glottal constriction}, {u, {u, ṵ}, {_ʔ,ʔ_}, ṵ-glottal constriction}, {o, {o, o̰}, {_ʔ,ʔ_}, o̰-glottal constriction}, {ĩ, {ĩ, ḭ̃}, {_ʔ,ʔ_}, ḭ̃-glottal constriction}, {ɨ̃, {ɨ̃, ɨ̰̃}, {_ʔ,ʔ_}, ɨ̰̃-glottal constriction}, {ã, {ɐ̃, ɐ̰̃}, {_ʔ,ʔ_}, {ɐ̃-backing, ɐ̰̃-glottal constriction}}, {ẽ, {ẽ, ḛ̃}, {_ʔ,ʔ_}, ḛ̃-glottal constriction}, {ũ, {ũ, ṵ̃}, {_ʔ,ʔ_}, ṵ̃-glottal constriction}, {õ, {õ, õ̰}, {_ʔ,ʔ_}, õ̰-glottal constriction}, {i, {i, ĭ}, _{h, ɾ}i, ĭ-vowel shortening}, {ɨ, {ɨ, ɨ̆}, _{h, ɾ}ɨ, ɨ̆-vowel shortening}, {a, {a, ă}, _{h, ɾ}a, ă-vowel shortening}, {u, {u,ŭ}, _{h, ɾ}u, ŭ-vowel shortening}, {e, {e,ĕ}, _{h, ɾ}e, ĕ-vowel shortening}, {o, {o,ŏ}, _{h, ɾ}o, ŏ-vowel shortening}, {i, ĩ, _{m,n}, LN:Vpre}, {i, ĩ, _{m,n}, LN:Vpre}, {i, ĩ, _{m,n}, LN:Vpre}, {i, ĩ, _{m,n}, LN:Vpre}, {e, ẽ, _{m,n}, LN:Vpre}, {ɨ, ɨ̃, _{m,n}, LN:Vpre}, {a, ã, _{m,n}, LN:Vpre}, {u, ũ, _{m,n}, LN:Vpre}, {o, õ, _{m,n}, LN:Vpre}, {i, ĩ, #{m,n}_, LN:Vinit}, {e, ẽ, #{m,n}_, LN:Vinit}, {ɨ, ɨ̃, #{m,n}_, LN:Vinit}, {a, ã, #{m,n}_, LN:Vinit}, {u, ũ, #{m,n}_, LN:Vinit}, {o, õ, #{m,n}_, LN:Vinit}, {ɾ, n, &, MPP=n-LDNH}, {w, w}}					
