Doctype:	Reference					
Language:	Içuã; Júma [jua-icu]					
Source:	Abrahamson, Arne. 1968. Contrastive distribution of phoneme classes in Içuã Tupi. Anthropological Linguistics 10. 11-21.					
Data inputter:	Zorro Clendenning-Jimenez					
Summary:	Abrahamson proposes underlying voiced obstruents and contrastive oral and nasal vowels, 3 phonological processes and 1 morphophonological process: (1) rightward LN, underlying /d, j, t/ pre-nasalize following a nasal vowel (p.15). /j/ to [ndʒ], /t/ to [nt] (p.15), and /D/ to [ND]; (2) leftward XMP, post-nasalization of /D/ to [DN] morpheme-finally when preceding a nasal vowel (p.13); (3) bidirectional LN, D nasalizes to [N] between two nasal vowels or before a nasal vowel word-initially (p.16); (4) leftward MPP, person prefixes have a nasal and oral allomorphs. Nasal allomorphs only differ from their oral counterparts in their nasalized vowels. The authors claim that this morphophonological process occurs before voiced oral stops (p.18-19). Abrahamson groups the prefixes into 8 different sets; certain person prefixes are assigned more than one meaning, such as {a, ã} which can either refer to 1.SG or 3.SG/PL. For a more detailed gloss, see the Morpheme IDs below.					
Notes:	Noted by author as a "dialect of Tupi" (p. 19); it is uncertain whether this description pertains to a variety of Júma, another language of the same subgroup or a different language within the Tupi-Guarani family. The author notes the following regarding this language: "The first informant was Ite a monolingual woman in her late thirties. She was one of four Indians brought to the rubber plantation from the jungle by rubber workers. In September of 1965, she was killed by the Juma Indians. Two more of the original four Indians have died from diseases. The second informant and only known speaker is Pidaba, the monolingual, 12 year old son of Ite. He says that there are only two other families of his tribe still living deep in the jungle. By all indications this tribe is almost extinct, and there may be no further opportunities to gather data on this dialect." (p. 20). This paper is classified by Glottolog and SIL as pertaining to Júma.  Due to the complexity of the MPP process and a lack of surface transcription of the nasal prefix allomorphs by the author, these allomorphs are not included in the allophones section but are included in the Morpheme IDs.					
Include in SAPhon:	Yes					
						
Natural classes:	{T, p, t, k, ʔ}, {D, b, d, ɡ}, {S, h}, {R, ɾ, j}, {V, i, ɛ, a, ɔ, ɯ}, {Ṽ, ĩ, ɛ̃, ã, ɔ̃, ɯ̃}					
Allophones:	{{p, p}, {t, t}, {k, k}, {ʔ, ʔ}, {b, b}, {d, d}, {ɡ, ɡ}, {ɾ, ɾ}, {j, j}, {h, h}, {i, i}, {ɛ, ɛ}, {a, a}, {ɔ, ɔ}, {ɯ, ɯ}, {ĩ, ĩ}, {ɛ̃, ɛ̃}, {ã, ã}, {ɔ̃, ɔ̃}, {ɯ̃, ɯ̃}, {a, ə, _{h, #}, raising}, {ã, ə̃, _{D, h, #}, raising}, {b, mb, Ṽ_V, LN:DtoND}, {d, nd, Ṽ_V, LN:DtoND}, {ɡ, ŋɡ, Ṽ_V, LN:DtoND}, {j, ndʒ, Ṽ_V, LN:DtoND}, {t, nt, Ṽ_, LN:DtoND}, {b, bm, V_#, XMP=SN:DtoDN}, {d, dn, V_#, XMP=SN:DtoDN}, {ɡ, ɡŋ, V_#, XMP=SN:DtoDN}, {b, m, #_Ṽ, LN:initial}, {d, n, #_Ṽ, LN:initial}, {j, ɲ, #_Ṽ, LN:initial}, {b, m, Ṽ_Ṽ, LN:Ṽ_Ṽ}, {d, n, Ṽ_Ṽ, LN:Ṽ_Ṽ}, {ɡ, ŋ, Ṽ_Ṽ, LN:Ṽ_Ṽ}, {j, ɲ, Ṽ_Ṽ, LN:Ṽ_Ṽ}, {b, m, Ṽ_#, LN:final}, {d, n, Ṽ_#, LN:final}, {ɡ, ŋ, Ṽ_#, LN:final}, {a, ã, &, ONAllm:prefix}, {ɛ, ɛ̃, &, ONAllm:prefix}, {ɯ, ɯ̃, &, ONAllm:prefix}, {i, ĩ, &, ONAllm:prefix}}					
