Doctype:	Reference					
Language:	Karo [arr]					
Source:	Gabas, Jr., Nilson. 1989. Estudo fonológico da língua karo (Arara de Rondônia). Campinas: Univ. Estadual. (MA thesis, Universidade Estadual de Campinas; vi+85pp.) Gabas, Jr., Nilson. 1999. A Grammar of Karo, Tupí (Brazil). Ann Arbor: UMI. (Doctoral dissertation, University of California at Santa Barbara; xxiii+297pp.)					
Data inputter:	Jasper Talwani					
Summary:	These two sources were folded together because they largely overlap, with Gabas 1999 chapter 2 'Phonetics and Phonology' appearing to be largely an English translation of Gabas 1989 with refinements and small changes as well as some reorganization. Gabas' (1989) thesis exclusively describes Karo phonology, while the latter (1999) essentially includes a translation of the former with other chapters on grammar.   The sources describe a language contrasting orality-nasality in the stops and vowels, with reduced nasal series compared to the orals in both. Gabas proposes 8 processes: (1) rightward LDNH, where nasalized vowels in penultimate stressed syllables nasalize a following heterosyllabic /ɾ ɡ/ to [ɾ̃ ŋ] and then nasalize the vowel of that following syllable; (2) bidirectional LN where vowels may optionally nasalize between two nasal consonants, where the first is the onset of its syllable and the second is the onset of the following stressed syllable; (3) leftward LO where /m n ŋ/ postoralize to [mb nd ŋɡ] when onsets of stressed syllables with an oral nucleus; (4) rightward LO where word-final (coda) nasals preoralize in stressed oral syllables; (5) Bidirectional LN where /w j/ nasalize adjacent to a nasal vowel; (6) rightward LN, morpheme-initial /p, t, k/ nasalize to [m, n, ŋ] after final nasal consonants in the preceding word; (7) circumdirectional LN, word-final /p, t, k/ in syllable codas between a nasal nucleus and before initial nasal consonants in the following word nasalize to [m, n, ŋ]; (8) rightward MPP, the indicative suffix {-p} nasalizes to {-m} after verb roots with final nasal vowels.					
Notes:	The empirical descriptions in both sources are largely identical, with the following minor exception: /c/ described as varying between an affricate and a fricative (tʃ~ç) in 1989:26 but between a stop and a fricative in 1999, where [c] is included in the 'voiceless stop series' (1999:14). It is assumed here that the 1999 description is more correct, since at that point the author had 10 years worth of learning and analysis over his master's thesis.   The other slight differences are largely a matter of wording or specificity, and in all such cases the 1999 take comes out superior.  The environment for preoralization is given as 'final de palavra depois de vogal oral' in 1989:28 but as 'word-final codas of stressed syllables after an oral vowel' in 1999:14, where only the latter mentions stress. This is probably not an empirical discrepancy since all the examples given on preoralization in 1989 (pp. 10-12) have the process occurring in stressed syllables, so we can likely assume that the 1999 description is more complete.  Gabas 1989:53 does not claim that /ɾ/ is nasalized in the rule I coded as LN:rightward, even though the data he gives shows just that occurring. Rather he only says that the nasalized allophone occurs in 'início de sílaba entre vogais nasais' (28), which of course overlaps with the domain of LN:rightward. Gabas 1999 similarly observes '[ɾ̃] occurs between nasal vowels in unstressed syllables preceded by stressed syllables' (16). However, he also explicitly states that /ɾ/ is nasalized in that rightward LN rule (1999:27-28), and includes the same datum for both the allophony rule and the nasal spread rule, /mãɾo/ 'capibar' → [ˈmə̃ɾ̃õ] (16, 28) (the transcription <ˈmãr̃õ> can be assumed to be a misprint or error, [ã] is unattested (1999:20)). Since stress is placed finally or sometimes penultimately (1999:39), the only environment where the stated realization of the /ɾ/ allophony rule (1999:16) would be in exactly the same context where the LN process occurs, and no other ones, so it can be assumed these are actually exactly the same rule, as has been coded here.  Despite the claim that that the rightward LN rule requires that the final syllable's onset be /ɾ, ɡ/, there seems to be data that suggest the rule casts a wider net. Gabas 1999:42 has /joɡõjom/ [yoˈɡõj̃õm] 'beard, moustache', and /catõwa/ [caˈtːõw̃ə̃] 'fish (sp.)'. While the nasalization of /w, j/ could go under the local rule coded as LN:wj, the progression of nasality to /o ə/ indicates that this may be an instance of the same rightward LN process at play with /ɾ, ɡ/. However, there are also data where such a process does not occur, e.g. /wakãja/ [waˈkːə̃j̃a] 'rodent (sp.)' and /ĩja/ [ˈĩj̃a] 'bird' (Gabas 1992:42), so it could be that the rule applies variably before /j, w/-initial syllables or that the apparent exceptions to the exclusivity of /ɾ, ɡ/ are simply transcription errors. In any case, the literal description provided by Gabas was assumed in the coding of that rule.  Several highly interesting facts about the interaction between vowel nasality, consonant voicing, phonotactics, tone and stress are worth highlighting. Gabas 1999:42 (n. 13) suggests that "There seems to be just one underlying nasal vowel per word in Karo." This is an interesting claim, since he does transcribe units with multiple underlying nasal vowels without intervening spaces, e.g. /mãjɡãɾa/ 'snake (1999:42). Stress is final by default in Karo, but must obligatorily be on the penultimate syllable if that syllable is nasal (1999:42). There can also not be an oral high-toned syllable co-occuring with an underlying nasal syllable in the same word, e.g. *[ˈpákã] (1999:42). He further notes (ibid) that the language does not allow words of the form /ˈCṼTV/, where T is a voiceless stop, since this would result in a "clashing" of the complex stress rules.  The following interpretations of Gabas 1989's graphemes were made, based on comparisons with Gabas 1999 and with their place on the vowel and consonant charts: <c> with small slash at the bottom, similar to <¢>: [ç] <č>: [tʃ] <y>: [j] <?>: [ʔ]  The following notation for tonal environments has been used for the time being: _X = 'having tone X out of 5 tone levels' e.g. _5 = 'when having high tone'  The unique realization of /ã/ as [ə̃] was coded based on correspondences between phonemic and phonetic transcriptions, e.g. '/yomã/ [yomə̃] "coxa"' (1989:45) (<y> = [j], see above). Also, the attested nasal vowel phones were [ĩ ẽ ə̃ õ] (1989:22), while the ɡiven nasal vowel phonemes were /ĩ ẽ ã õ/ (1989:48)  It was assumed for all vowel nasalization rules that only /i e a o/ (→[ĩ ẽ ə̃ õ]) were possible targets, since the latter phones were given as the only attested nasal phones (see 1999:23 for examples). It was further assumed that /a/ nasalizes to [ə̃] based on the following sentence: 'a realização fonética do fonema /a/, quando nasalizado contextualmente, coincide com a realização fonética do fonema nasal /ã/.' (1989:54); see also above.  There are several assimilation rules targetting voiceless stops at the edges of words, coded as LN:initial, LN:final, voicing assimilation and debuccalization. Of these, Gabas states that his account "is representative of only certain groups of speakers within the Karo community. No exhaustive survey was made with respect to possible phonological alternations presented here" (1999:29 n. 10). This statement was taken to mean that there is a coherent lect that includes all of these "external" phonological rules, but that all features of this lect are not in place throughout the Karo speech community.   In another rule, /p/ debuccalizes to [h] word-finally following an oral vowel and preceding a stressed syllable with an initial nasal or glide onset. However, the author could not confirm this rule applies with a following onset /ŋ/ (38), but it was coded as an environment, since the author appears to be hypothesizing that it should condition the same process.  An additional source, "Os Segmentos Fonéticos Complexos da Língua Karo" (Gabas 1990) was available to us, but was not coded since it contained no new descriptive generalizations compared to Gabas 1999, due to its largely theoretical orientation.  Two phonemic tones (high and low) and three phonetic tones (high, mid, low) are proposed by the author for Karo: "Constatou-se a ocorrência de três diferentes tons nas sílabas do Karo: um baixo, um médio e um alto. Há co-ocorrência dos tons médio e alto com o acento de intensidade, sendo que o tom baixo nunca ocorre em sílaba acentuada...Conclui-se, a partir do exposto, em primeiro lugar, que são fonologicamente distintivos apenas dois tonemas, o alto e o baixo, sendo o médio a realização do tonema baixo quando em sílaba acentuada, e, em segundo lugar, que são possível apenas três tipos de seqüências de tonemas nos morfemas simples do Karo: a) baixo-baixo; b) baixo-alto; e c) alto-baixo" (p. 68-69). From these facts, high and low tones have been coded in the natural classes and allophones as {5, 5}, and {1, 1}, respectively. The process by which low tones change to mid tones in stressed syllables has also been included in the allophones below.   Gabas (1989:16) claims that vowels may optionally lengthen in stressed syllables preceding monosyllabic unstressed morphemes. Given the complexity to code this process, we have included the environment as $'_+$*+.  Post-oralization of /m, n, ŋ/ seems to be optional in Gabas (1989) as identical data points are either transcribed with a post-oralized [ND] segment or a plain [N]: [ana'nda] or [ana'na] 'abacaxi', ['ndɔdn] or ['nɔdn] 'espinho', ['ndɔɡat̚] or ['nɔɡat̚] 'comer (intr.)' (Gabas, 1989:9-12). On the other hand, Gabas (1999) suggests the opposite and only posits post-oralized segments occur in identical transcriptions to Gabas (1989): [ana'nda] 'pineapple' (Gabas, 1999:14). We assume the latter manuscript (Gabas, 1999) is more correct and adopt this analysis.					
Include in SAPhon:	Yes					
						
Natural classes:	{T, p, t, c, k, ʔ}, {D, b, ɡ}, {N, m, n, ŋ}, {R, w, j, ɾ}, {S, h}, {V, i, e, ə, a, o, u, ɨ}, {Ṽ, ĩ, ẽ, ã, õ}, {TONE, 1, 5}					
Allophones:	{{p, p}, {t, t}, {c, c}, {k, k}, {ʔ, ʔ}, {b, b}, {ɡ, ɡ}, {b, {b, β}, V$*_, {β-lenition, β-spirantization}}, {ɡ, {ɡ, ɣ}, V$*_, {ɣ-lenition, ɣ-spirantization}}, {m, m}, {n, n}, {ŋ, ŋ}, {w, w}, {j, j}, {ɾ, ɾ}, {h, h}, {1, 1}, {5, 5}, {i, i}, {e, ɛ, {$*_, $'_3}, lowering}, {e, e, $'_5, preservation}, {o, ɔ, $'_3, lowering}, {o, o, {$*_, $_5}, preservation}, {ə, ə}, {a, a}, {u, u}, {ɨ, ɨ}, {ĩ, ĩ}, {ẽ, ẽ}, {ã, ə̃, US, representation convention}, {õ, õ}, {a, {a, a:}, $'_+$*+, a:-lengthening}, {e, {e, e:}, $'_+$*+, e:-lengthening}, {i, {i, i:}, $'_+$*+, i:-lengthening}, {ə, {ə, ə:}, $'_+$*+, ə:-lengthening}, {o, {o, o:}, $'_+$*+, o:-lengthening}, {u, {u, u:}, $'_+$*+, u:-lengthening}, {ɨ, {ɨ, ɨ:}, $'_+$*+, ɨ:-lengthening}, {p, p:, $'_V, gemination}, {t, t:, $'_V, gemination}, {p, p̚, _#, unreleasing}, {t, t̚, _#, unreleasing}, {c, c:, $'_V, gemination}, {c, {ç, tʃ}, {#, V}_V, {ç-spirantization, tʃ-affrication}}, {k, k:, $'_, gemination}, {k, k̚, _#, unreleasing}, {p, b, {$'CV_#$*{m, n, ŋ}, {V, j, w}+_, _+{V, j, w}}, voicing}, {p, h, $'CV_#$'{m, n, ŋ, w, j}, debuccalization}, {k, ɡ, {$'CV_+{m, n, ŋ}, {V, j, w}+_, _+{V, j, w}}, voicing}, {t, ɾ, {{V, j, w}+_, _+{V, j, w}}, {tapping, voicing}}, {m, mb, $'_V, LO:postO}, {n, nd, $'_V, LO:postO}, {ŋ, ŋɡ, $'_V, LO:postO}, {m, bm, V_#, LO:preO}, {n, dn, V_#, LO:preO}, {ŋ, ɡŋ, V_#, LO:preO}, {ɾ, ɾ̃, $'Ṽ$*_V, LNsyll:rightward}, {ɡ, ŋ, $'Ṽ$*_V, LNsyll:rightward}, {w, w̃, {Ṽ_, _Ṽ}, LN:wj}, {j, j̃, {Ṽ_, _Ṽ}, LN:wj}, {i, ĩ, $'Ṽ$*{ɡ, ɾ}_, LNsyll:rightward}, {e, ẽ, $'Ṽ$*{ɡ, ɾ}_, LNsyll:rightward}, {a, ə̃, $'Ṽ$*{ɡ, ɾ}_, LNsyll:rightward}, {o, õ, $'Ṽ$*{ɡ, ɾ}_, LNsyll:rightward}, {i, {i, ĩ}, {m, n, ŋ}_$'{m, n, ŋ}, ĩ-LN:optional}, {e, {e, ẽ}, {m, n, ŋ}_$'{m, n, ŋ}, ẽ-LN:optional}, {a, {a, ə̃}, {m, n, ŋ}_$'{m, n, ŋ}, ə̃-LN:optional}, {o, {o, õ}, {m, n, ŋ}_$'{m, n, ŋ}, õ-LN:optional}, {p, {p, m}, {m, n, ŋ}+_, MPP=m-LN:initial}, {t, {t, n}, {m, n, ŋ}+_, MPP=n-LN:initial}, {k, {k, ŋ}, {m, n, ŋ}+_, MPP=ŋ-LN:initial}, {p, {p, m}, Ṽ_+{m, n, ŋ}, MPP=m-LN:final}, {t, {t, n}, Ṽ_+{m, n, ŋ}, MPP=n-LN:final}, {k, {k, ŋ}, Ṽ_+{m, n, ŋ}, MPP=ŋ-LN:final}, {1, 3, $*_, tone raising}, {p, m, Ṽ+_, ONAllm:p}, {m, m, Ṽ_Ṽ, maintenance}, {n, n, Ṽ_Ṽ, maintenance}, {ŋ, ŋ, Ṽ_Ṽ, maintenance}}					
	Page numbers:		{1989:6, 1989:25, 1989:37, 1989:80, 1999:11-16, 1999:20-21}			
Analytical framework:	Descriptive					
Morpheme IDs:	{p.INDIC, suffix, p, {m, ap}, INDIC}					
						
Process name:	LNsyll:rightward					
Process type:	LNsyll					
