Doctype:	Reference			
Language:	Mbyá, ISO: [gun-brs] (Mbyá do Brasil)			
Source:	Dooley, Robert A. 1984. Nasalização na língua Guaraní. Estudos sobre línguas tupí do Brazil 11. 7-35. Dooley, Robert A. 2013. Léxico guaraní, dialeto mbyá: com informações úteis para o ensino médio, a aprendizagem e a pesquisa linguística. Associação Linguística Internacional - SIL Brasil. Dooley, Robert A. 1978/2008. Pronouns and topicalization in Guarani texts.			
Data inputter:	Teela Huff			
Summary: 	This summary combines Dooley's 1984, 2006, and 1978/2008 articles given their similarity in analysis. It mainly follows Dooley (1984) and Dooley (2013), which provide more explicit descriptions of nasal harmony and nasal/oral processes in Mbyá, but page numbers have been included for all three publications (when relevant). The version of Dooley's 1984 article included in this summary is a Portuguese translation by Helena Vera Flor.  Dooley posits underlying nasal consonants (N) and contrastive oral/nasal vowels (V, Ṽ) for Mbyá, along with 5 processes related to orality/nasality: (1) leftward LDNH, in a prefix-root domain, the right-most nasal consonant or nasal vowel nasalizes all oral vowels and approximants /ɾ, w/. The trigger must occur in a root. Voiceless stops /p, t, k, kʷ, ʔ/ act as transparent to this process (1984:3-5, 2013:5-6). Dooley claims that this process is blocked by any morpheme which is not a prefix and contains an oral vowel; (2) rightward MPP, the causative prefix {mo-} triggers nasalization of root-initial /p, t, k, kʷ/ to [m, n, ŋ, ŋʷ] located within the adjacent root (1984:7-8); (3) rightward allomorphy selection, following a root-final nasal vowel, the following suffixes are nasalized: {pɨ, ʔi, i.NEG} to [pɨ̃, ʔĩ, ĩ.NEG] (1984:7, 2013:6); (4) leftward LO, post-oralization of nasal consonants /m, n, ŋ, ŋʷ] to [mb, nd, ŋɡ, ŋɡʷ] before an oral vowel (2013:3, 2013:5). 			
Notes:	No page numbers are given for Dooley's 1984 article; page numbers are assumed based on the PDF reader used to review that source.  Dooley's 1978/2008 article discusses topicalization in Mbyá. The footnotes briefly discusses nasal harmony in Mbyá and is consistent with Dooley's previous (1978) and later (2013) analyses: "Nasalization is regressive throughout a stem and its prefixes" (1978/2008:11).  The PDF of Dooley 2013 is missing some symbols from the phonemic and orthographic tables (2013:3). Furthermore, some of the symbols in his transcriptions are corrupted and were not properly converted to IPA. 			
Include in SAPhon:	Yes			
				
Natural Classes:	{T, p, t, tʃ, k, kʷ, ʔ}, {Z, v}, {S, h}, {N, m, n, ɲ, ŋ, ŋʷ}, {R, w, ɾ}, {V, i, e, o, u, ɨ, a}, {Ṽ, ĩ, ɨ̃, ẽ, ã, õ, ũ}			
Allophones:	{{p, p}, {t, t}, {tʃ, tʃ}, {k, k}, {kʷ, kʷ}, {ʔ, ʔ}, {m, m}, {n, n}, {ɲ, ɲ}, {ŋ, ŋ}, {ŋʷ, ŋʷ}, {v, v}, {h, h}, {i, i}, {e, e}, {o, o}, {u, u}, {ɨ, ɨ}, {a, a}, {ĩ, ĩ}, {ɨ̃, ɨ̃}, {ẽ, ẽ}, {ã, ã}, {õ, õ}, {ũ, ũ}, {p, m, {mo}+_, MPP=LNsyll:mo}, {t, n, {mo}+_, MPP=LNsyll:mo}, {k, ŋ, {mo}+_, MPP=LNsyll:mo}, {kʷ, ŋʷ, {mo}+_, MPP=LNsyll:mo}, {ɾ, {ɾ̃,n}, &, MPP=LNsyll:mo}, {i, ĩ, &, LDNH:leftward}, {i, ĩ, &, LDNH:leftward}, {e, ẽ, &, LDNH:leftward}, {e, ẽ, &, LDNH:leftward}, {o, õ, &, LDNH:leftward}, {o, õ, &, LDNH:leftward}, {u, ũ, &, LDNH:leftward}, {u, ũ, &, LDNH:leftward}, {ɨ, ɨ̃, &, LDNH:leftward}, {ɨ, ɨ̃, &, LDNH:leftward}, {a, ã, &, LDNH:leftward}, {a, ã, &, LDNH:leftward}, {m, mb, _V, LO}, {n, nd, _V, LO}, {ɲ, dʒ, _V, LO}, {ŋ, ŋɡ, _V, LO}, {ŋʷ, ɡʷ, _V, LO}, {ŋʷ, ŋɡʷ, _V, LO}, {p, m, Ṽ+_, MPP=LN:N}, {t, n, Ṽ+_, MPP=LN:N}, {k, ŋ, Ṽ+_, MPP=LN:N}, {kʷ, ŋɡʷ, Ṽ+_, MPP=LN:N}, {i, ĩ, &, ONAllm:suffix}, {ɨ, ɨ̃, &, ONAllm:suffix}, {i, ĩ, &, ONAllm:suffix}, {m, m, _Ṽ, maintenance}, {n, n, _Ṽ, maintenance}, {ɲ, ɲ, _Ṽ, maintenance}, {ŋ, ŋ, _Ṽ, maintenance}}			
