Doctype:	Reference				
Language:	Nhandeva, ISO: nhd				
Source:	Costa, Consuelo P.G. 2003. Fonologia do Nhandewa-Guarani Paulista-Paranaense. Liames 3. Costa, Consuelo de Paiva Godinho. 2003. Nhandewa Aywu. UNICAMP Biblioteca Central. 				
Data inputter:	Emma Kuykendall				
Summary:	Costa proposes underlying ND at the labial and alveolar positions and phonemic nasal vowels. Two nasal harmony processes (more detailed in the UNICAMP source "Nhandewa Aywu") and an MPP process resulting in velar nasals are proposed: (1) Leftward LDNH triggered by nasal consonant, ND, nasalizing all voiced segments; (2) Bidirectional LDNH nasalizing all voiced segments, triggered by a stressed nasal vowel (only found root-finally); (3) Rightward XMP by which morpheme-initial /k, ɰ/ and /kʷ/ are nasalized to [ŋɡ] and [ŋɡʷ], respectively, after morpheme-final Ṽ. In the general nasal harmony process, k and kʷ are transparent rather than undergoers, making this a morphophonological process; 				
Notes:	Costa describes nasal harmony (when not initiated by a nasal consonant) as being triggered by a nasal autosegment attached to a stressed vowel which is a vestige of a nasal consonant coda that has since been deleted. It is also noted that harmony may spread beyond word boundaries. An "accent group" is defined to be a root and its unstressed affixes.				
Include in SAPhon:	Yes				
					
Natural classes:	{V, i, ɨ, ɛ, a, ɔ, u}, {Ṽ, ĩ, ɨ̃, ɛ̃, ã, ɔ̃, ũ}, {T, p, t, ts, tʃ, k, kʷ, ʔ}, {ND, mb, nd}, {R, ɾ, j, w, ɰ}				
Allophones:	{{i, i}, {ɨ, ɨ}, {ɛ, ɛ}, {a, a}, {ɔ, ɔ}, {u, u}, {ĩ, ĩ}, {ɨ̃, ɨ̃}, {ɛ̃, ɛ̃}, {ã, ã}, {ɔ̃, ɔ̃}, {ũ, ũ}, {p, p}, {t, t}, {ts, ts}, {tʃ, tʃ}, {k, k}, {kʷ, kʷ}, {ʔ, ʔ}, {mb, mb}, {nd, nd}, {ɾ, ɾ}, {ɰ, ɰ}, {j, j, V_{$, #}, preservation}, {j, dʒ, {#, $}_V, fortition}, {j, ɲ, &, {LDNH:ND, LDNH:V}}, {j, ndʒ, US, nasalization}, {w, {w, v, ʋ}, @, {v-fortition, ʋ-labiodentalization}}, {w, {w̃, ɱ, ŋw̃}, &, {LDNH:ND, LDNH:V}}, {w, ɡʷ, US, fortition}, {ɰ, ŋɡ, Ṽ+_, XMP=LN:velar}, {ɰ, {ɰ̃, ŋ}, &, {LDNH:ND, LDNH:V}}, {ɰ, {ɰ, ɡ}, V_V, ɡ-fortition}, {ts, tʃ, _{i, ĩ}, palatalization}, {tʃ, ts, _{ɨ, ɨ̃}, depalatalization}, {mb, m, &, {LDNH:ND, LDNH:V}}, {nd, n, &, {LDNH:ND, LDNH:V}}, {k, ŋɡ, Ṽ+_, XMP=LN:velar}, {kʷ, ŋɡʷ, Ṽ+_, XMP=LN:velar},  {ɾ, ɾ̃, &, {LDNH:ND, LDNH:V}}, {i, ĩ, &, {LDNH:ND, LDNH:V}}, {ɨ, ɨ̃, &, {LDNH:ND, LDNH:V}}, {ɛ, ɛ̃, &, {LDNH:ND, LDNH:V}}, {a, ã, &, {LDNH:ND, LDNH:V}}, {ɔ, ɔ̃, &, {LDNH:ND, LDNH:V}}, {u, ũ, &, {LDNH:ND, LDNH:V}}, {ɛ, {ɛ, i}, ($*)$*_($*), i-raising}, {ɔ, {ɔ, u}, ($*)$*_($*), u-raising} {ɛ, {ɛ, e}, $*_, e-raising}, {ɔ, {ɔ, o}, $*_, o-raising}, {ɨ, ɯ, {{k, kʷ}_, _{k, kʷ}}, backing}, {a, ɐ, US, centralization}, {ã, ɐ̃, US, centralization}}				
	Page numbers:	Liames: 76-77, 80, 83, 86-91; UNICAMP: 38-39, 45-56, 60-			
Analytical framework:	Descriptive				
Morpheme IDs:	None				
					
Process name:	LDNH:ND				
Process type:	LDNH				
Prose description:	Leftward nasal harmony triggered by prenasalized stops which nasalize all voiced segments.				
Page numbers:	Liames: 85, 86, 91; UNICAMP: 77-79, 83-86, 96-101				
	Optionality:	Categorical			
	Directionality:	Leftward			
	Alternation type:	Phonological			
	Undergoers:		V, mb, nd, ɾ, j, w, ɰ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{prefix}, {root}
	Triggers:		mb, nd		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root}
	Transparencies:	p, t, k, kʷ, ts, tʃ, ʔ			
	Opacities:	V́			
					
Process name:	LDNH:V				
Process type:	LDNH				
Prose description:	Bidirectional nasal harmony triggered by nasal vowels which nasalize all voiced segments in the "accent group".				
Page numbers:	Liames: 85, 86, 91; UNICAMP: 77-79, 83-86, 96-101				
	Optionality:	Categorical			
	Directionality:	Bidirectional			
	Alternation type:	Phonological			
	Undergoers:		V, mb, nd, ɾ, j, w, ɰ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{utterance}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Transparencies:	p, t, k, kʷ, ts, tʃ, ʔ			
	Opacities:	V́			
					
Process name:	XMP=LN:velar				
Process type:	LN				
Prose description:	Rightward nasalization of /k, ɰ/  to [ŋɡ] and / kʷ/ to [ŋɡʷ] after a morpheme-final nasal vowel 				
Page numbers:	Liames: 80, 87-88, 91; UNICAMP: 75, 80-81				
	Optionality:	Categorical			
	Directionality:	Rightward			
	Alternation type:	Morphophonological			
	Undergoers:		k, kʷ, ɰ		
		Type:			Segmental
		Morpheme class:			{Root, suffix}
		Morpheme IDs:			None
		Positional restriction:			{morpheme2, initial}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			{Prefix, root}
		Morpheme IDs:			None
		Positional restriction:			{morpheme1, final}
	Transparencies:	NA			
	Opacities:	NA			
					
Doctype:	Reference				
Language:	Nhandeva, ISO: nhd				
Source:	Costa, Consuelo de Paiva Godinho. 2007. Apyngwa Rupigwa: Nasalização em Nhandewa-Guarani. CAMPINAS				
Data inputter:	Emma Kuykendall				
Summary:	Costa largely is consistent with the 2003 analysis, with a few extra details, especially concerning morphophonological nasalization. Proposed underlying phonemes are still the same: underlying ND and nasal vowels. 3 processes are proposed: (1) leftward LDNH spreading from ND and nasalizing all voiced segments, with transparent voiceless segments; (2) bidirectional LDNH originating from a phonemic nasal vowel (which occurs in a stressed syllable, which only occurs root-finally); (3) morphophonological local nasalization in which a morpheme-final nasal vowel pre-nasalizes a voiceless obstruent to its right when followed by a stressed oral vowel.				
Notes:	This analysis explicitly broadens the morphophonological nasalization process to affect voiceless obstruents - the 2003 analysis did not present a very clear picture of this process or which segments are its undergoers. This source also makes it clear that this process is only relevant when speaking of undergoers within morphemes carrying oral stress - otherwise the bidirectional LDNH would be in effect instead.				
Include in SAPhon:	Yes				
					
Natural classes:	{V, i, ɨ, ɛ, a, ɔ, u}, {Ṽ, ĩ, ɨ̃, ɛ̃, ã, ɔ̃, ũ}, {T, p, t, ts, tʃ, k, kʷ, ʔ}, {ND, mb, nd}, {R, ɾ, j, ɰ, w}				
Allophones:	{{i, i}, {ɨ, ɨ}, {ɛ, ɛ}, {a, a}, {ɔ, ɔ}, {u, u}, {ĩ, ĩ}, {ɨ̃, ɨ̃}, {ɛ̃, ɛ̃}, {ã, ã}, {ɔ̃, ɔ̃}, {ũ, ũ}, {p, p}, {t, t}, {ts, ts}, {tʃ, tʃ}, {k, k}, {kʷ, kʷ}, {ʔ, ʔ}, {mb, mb}, {nd, nd}, {ɾ, ɾ}, {ɰ, ɰ}, {ɛ, {ɛ, i}, ($*)$*_($*), i-raising}, {ɨ, ɯ, {_{k, kʷ}, {k, kʷ}_}, ɯ-backing}, {j, dʒ, {#, $}_V, fortition}, {j, ɲ, &, {LDNH:ND, LDNH:V}}, {j, j, V_{$, #}, preservation}, {mb, m, &,  {LDNH:ND, LDNH:V}}, {nd, n, &,  {LDNH:ND, LDNH:V}}, {ɰ, {ɰ, ɡ}, V_V, ɡ-fortition}, {ts, tʃ, _{i, ĩ}, palatalization}, {tʃ, ts, _{ɨ, ɨ̃}, depalatalization}, {w, {w, v, ʋ}, @, {v-fortition, ʋ-labiodentalization}}, {w, {w̃, ɱ, ŋw̃}, &,  {LDNH:ND, LDNH:V}}, {w, ɡw, US, fortition}, {ɾ, ɾ̃, &, {LDNH:ND, LDNH:V}}, {ɰ, {ɰ̃, ŋ}, &, {LDNH:ND, LDNH:V}}, {i, ĩ, &, {LDNH:ND, LDNH:V}}, {ɨ, ɨ̃, &, {LDNH:ND, LDNH:V}}, {ɛ, ɛ̃, &, {LDNH:ND, LDNH:V}}, {a, ã, &, {LDNH:ND, LDNH:V}}, {ɔ, ɔ̃, &, {LDNH:ND, LDNH:V}}, {u, ũ, &, {LDNH:ND, LDNH:V}}, {k, ŋɡ, Ṽ+_V, XMP=LN:T}, {kʷ, ŋɡʷ, Ṽ+_V, XMP=LN:T}, {t, nd, Ṽ+_V, XMP=LN:T}, {p, mb, Ṽ+_V, XMP=LN:T}, {tʃ, ndʒ, Ṽ+_V, XMP=LN:T}}				
	Page numbers:	68-69, 71-79, 82-83, 85-87, 90-			
Analytical framework:	Descriptive				
Morpheme IDs:	None				
					
Process name:	LDNH:ND				
Process type:	LDNH				
Prose description:	Leftward LDNH affecting all voiced segments and triggered by ND.				
Page numbers:	73-74, 90-97				
	Optionality:	Categorical			
	Directionality:	Leftward			
	Alternation type:	Phonological			
	Undergoers:		V, mb, nd, ɾ, j, w, ɰ		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{prefix}, {root}	
	Triggers:		mb, nd		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{word, rmost}	
	Transparencies:	p, t, ts, tʃ, k, kʷ, ʔ			
	Opacities:	None			
					
Process name:	LDNH:V				
Process type:	LDNH				
Prose description:	Bidirectional LDNH affecting all voiced segments and triggered by stressed nasal vowel.				
Page numbers:	73-74, 90-97				
	Optionality:	Categorical			
	Directionality:	Bidirectional			
	Alternation type:	Phonological			
	Undergoers:		V, mb, nd, ɾ, j, w, ɰ		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{word}	
	Triggers:		Ṽ		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{root, final}	
	Transparencies:	p, t, ts, tʃ, k, kʷ, ʔ			
	Opacities:	None			
					
Process name:	XMP=LN:T				
Process type:	LN				
Prose description:	Morpheme-initial voiceless obstruents are voiced and prenasalized after morpheme-final nasal vowel and before stressed oral vowel				
Page numbers:	74, 91-95, 97				
	Optionality:	Categorical			
	Directionality:	Rightward			
	Alternation type:	Morphophonological			
	Undergoers:		k, kʷ, t, p, tʃ		
		Type:		Segmental	
		Morpheme class:		{Suffix}	
		Morpheme IDs:		None	
		Positional restriction:		{suffix, initial}	
	Triggers:		Ṽ		
		Type:		Segmental	
		Morpheme class:		{Root}	
		Morpheme IDs:		None	
		Positional restriction:		{root, final}	
	Transparencies:	NA			
	Opacities:	NA			
					
Doctype:	Synthesis				
Language:	Nhandeva				
Alternate_Names:	None				
ISO_Codes:	nhd				
Glottocode:	chir1286				
Synthesis:	Nhandeva exhibits the following processes involved nasal-oral alternations: 1) leftward LDNH originating from a nasal stop or a root final nasal vowel, affecting all sonorant segments; 2)Leftward LO by which /m, n/ are postoralized preceding an oral vowel; 3) A morphophonological process by which suffix-initial voiceless obstruents are realized as post-oralized nasals after a root-final nasal vowel; 4) a morphophonological process by which stressless suffixes are realized as nasal after a root-final nasal vowel.				
Data inputter:	MJL, EK				
Date completed:	08/24/22				
Notes:	The description by Costa is at times rather opaque. There seems to be some strange restrictions on voiced velar stops, namely [g, gw, ŋ, ŋɡ, ŋɡw], where these may be realized phonetically as approximants [w, ɰ]. The exact relationship between the two is not particularly clear, but the post-oralized velar consonants seem to only appear as outputs of the LN rule that operates on /T/ at morpheme boundaries. The status of [g, gw] specifically, whether phonemic or allophonic, is not clear at all, but at least they seem to be restricted, unsurprisingly, to oral environments.				
					
Natural classes:	{V, i, ɨ, ɛ, a, ɔ, u}, {Ṽ, ĩ, ɨ̃, ɛ̃, ã, ɔ̃, ũ}, {T, p, t, ts, tʃ, k, kʷ, ʔ}, {R, ɾ, j, ɰ, w} {N, m, n}				
Allophones:	{{i, i}, {ɨ, ɨ}, {ɛ, ɛ}, {a, a}, {ɔ, ɔ}, {u, u}, {ĩ, ĩ}, {ɨ̃, ɨ̃}, {ɛ̃, ɛ̃}, {ã, ã}, {ɔ̃, ɔ̃}, {ũ, ũ}, {p, p}, {t, t}, {ts, ts}, {tʃ, tʃ}, {k, k}, {kʷ, kʷ}, {ʔ, ʔ}, {m, m}, {n, n}, {ɾ, ɾ}, {ɰ, ɰ}, {ɛ, {ɛ, i}, ($*)$*_($*), i-raising}, {ɨ, ɯ, {_{k, kʷ}, {k, kʷ}_}, ɯ-backing}, {j, dʒ, {#, $}_V, fortition}, {j, ɲ, &, LDNH}, {j, j, V_{$, #}, preservation}, {m, mb, _V,  LO}, {n, nd, _V,  LO}, {ɰ, {ɰ, ɡ}, V_V, ɡ-fortition}, {ts, tʃ, _{i, ĩ}, palatalization}, {tʃ, ts, _{ɨ, ɨ̃}, depalatalization}, {w, {w, v, ʋ}, @, {v-fortition, ʋ-labiodentalization}}, {w, {w̃, ɱ, ŋw̃}, &, {w̃-LDNH, ɱ-LDNH, ŋw̃-LDNH}}, {ɾ, ɾ̃, &, LDNH}, {ɰ, {ɰ̃, ŋ}, &, {ɰ̃-LDNH, ŋ-LDNH}}, {i, ĩ, &, LDNH}, {ɨ, ɨ̃, &, LDNH}, {ɛ, ɛ̃, &, LDNH}, {a, ã, &, LDNH}, {ɔ, ɔ̃, &, LDNH}, {u, ũ, &, LDNH}, {k, ŋɡ, Ṽ+_V, XMP=LN:T}, {kʷ, ŋɡʷ, Ṽ+_V, XMP=LN:T}, {t, nd, Ṽ+_V, XMP=LN:T}, {p, mb, Ṽ+_V, XMP=LN:T}, {tʃ, ndʒ, Ṽ+_V, XMP=LN:T}, {w, {w̃, ɱ, ŋw̃}, Ṽ+_, {XMP=w̃-LNsyll, XMP=ɱ-LNsyll, XMP=ŋw̃-LNsyll}}, {ɾ, ɾ̃, Ṽ+_, XMP=LNsyll}, {ɰ, {ɰ̃, ŋ}, Ṽ+_, {XMP=ɰ̃-LNsyll, XMP=ŋ-LNsyll}}, {i, ĩ, Ṽ+_, XMP=LNsyll}, {ɨ, ɨ̃, Ṽ+_, XMP=LNsyll}, {ɛ, ɛ̃, Ṽ+_, XMP=LNsyll}, {a, ã, Ṽ+_, XMP=LNsyll}, {ɔ, ɔ̃, Ṽ+_, XMP=LNsyll}, {u, ũ, Ṽ+_, XMP=LNsyll}, {m, m, _Ṽ, maintenance}, {n, n, _Ṽ, maintenance}}				
