Doctype:	Reference					
Language:	Tembé [tqb]					
Source:	Boudin, Max H. 1978. Dicionário de tupi moderno (dialeto tembé-ténêtéhar do alto rio Gurupi). São Paulo:Conselho Estadual de Artes e Ciências Humanas.					
Data inputter:	Sebastian Clendenning-Jimenez					
Summary:	This source is a dictionary for Tembé. There is a small section of the phonemic inventory of the language (p. 13) but no description of harmony processes. Boudin includes [ʒ], which the author claims is an allophone of /z/ intervocalically (p. 14). The stops /p, t, k/ and /n/ geminate when they appear in the onset of a stressed syllable (p. 14).					
Notes:	No contrastive nasal vowels.					
Include in SAPhon:	Inventory-only					
						
Natural Classes:	{T, p, t, k, ʔ}, {N, m, n}, {S, h}, {Z, z}, {R, ɾ, j, w}, {V, i, ɨ, e, ə, a, o, u}					
Allophones:	{{p, p}, {t, t}, {k, k}, {ʔ, ʔ}, {m, m}, {n, n}, {h, h}, {z, z}, {i, i}, {ɨ, ɨ}, {e, e}, {ə, ə}, {a, a}, {o, o}, {u, u}, {z, {z, ʒ}, V_V, ʒ-UC}, {p, pː, $ˈ_, gemination}, {t, tː, $ˈ_, gemination}, {k, kː, $ˈ_, gemination}, {n, nː, $ˈ_, gemination}}					
	Page numbers:		{13-14}			
Analytical framework:		Descriptive				
Morpheme IDs:	None					
						
Doctype:	Reference					
Language:	Tembé [tqb]					
Source:	Orjuela, Lorena & Sérgio Meira. ms. Tembé (Tenetehara).					
Data inputter:	Sebastian Clendenning-Jimenez					
Summary:	The source is a submitted manuscript to JIPA and thus does not have a publication date.  Orjuela & Meira do not propose any harmony processes for Tembé, other than briefly mentioning that there are no phonemic nasal vowels in Tembé and that vowels can be "nasalized by contact" (p. 5) with nasal consonants. Tembé does not have contrastive nasal vowels.   Despite a lack of an explicit proposal by the authors, the data on pages 5-6 and 12-13 suggests two phonological processes in Tembé: (1) rightward LN, triggered by a nasal, nasal with oral explosion, or a pre-oralized nasal, with adjacent vowels becoming nasalized (p. 5-6, 12-13). The authors present examples in the data that point towards this LN process occasionally being bidirectional, rathern than just rightward; it has been grouped into one process (p. 5-6, 12-13); (2) rightward LO, triggered by the leftmost vowel of the root and causing adjacent nasals to become pre-oralized nasals (p. 6). Nasals and nasals with oral explosions are grouped under one category of nasals {N} in the natural classes row. Nasals with oral explosion exist in free variation word-initially and intervocalically - this is reflected in process (3) described as a SO.					
Notes:	No analysis with regards to nasal processes is actually proposed by the authors. Venting seems to be present for some of the data: /daku/ 'bird sp', /dapu/ 'bird sp', and /danu/ 'spider', which can surface with pre-nasalized stops: [ⁿdaku] 'bird sp', [ⁿdapu] 'bird sp', and [ⁿdanu] 'spider' (p. 5) but this analysis is not expanded on. [e̝] indicates a raised form of /e/. Orjuela and Meira consider Tembé and Guajajara co-dialects of the Tenetehara language (p. 2). The authors talk about the merger between /i/ and /ɪ/, showing that the two phonemes overlap significantly in the acoustic space (p. 15-16).  In a /VN/ sequence, the output can be either [VDN] or [ṼN]. This has been coded using the following input-output mappings: {V, {V, Ṽ}, /VN/, {ṼN, VDN}}, {N, {N, DN}, /VN/, {ṼN, VDN}}. It seems that pre-oralization can occur with /m, n, ŋ/, but perhaps not with /ŋʷ/ given the absence of a datapoint with a pre-oralized [gŋʷ]. We also note that, while in our version of Orjuela & Meira's manuscript there is also no datapoint exemplifying pre-oralized /n/ as [dn], Baraúna (2016) cites the following example [ǝkǝpin]~[ǝkǝpidn] ‘pássaro local’ from Orjuela & Meira's manuscript. We suspect that we may have access to a slightly different version of manuscript, as this same datapoint is transcribed as [əkəˈpĩn] in our version. Nonetheless, we infer from this that pre-oralization also applies to alveolar /n/. We also note that while there is no datapoint in the ms. that exemplifies vowel nasalization (LN) triggered by /ŋʷ/, we simply assume that /ŋʷ/ does nasalize adjacent vowels in the same way as other nasal consonants.  We understood "oral explosion" as a postoralization. 					
Include in SAPhon:	Yes					
						
Natural Classes:	{T, p, t, k, kʷ, ʔ}, {D, d}, {N, m, n, ŋ, ŋʷ}, {S, s, h}, {R, ɾ, w}, {V, i, ɪ, e, ə, a, o, u}					
