Doctype:	Reference					
Language:	Tupinambá [tpn]					
Source:	Aryon dall'Igna Rodrigues. 1958. Phonologie der Tupinambá-Sprache. (Doctoral dissertation, Universität Hamburg; 164pp.)					
Data inputter:	Nicki Young					
Summary:	Rodrigues describes several local phonological processes: (1) LN, whereby oral vowels are nasalized when adjacent to {m, n}; (2) LO, whereby /m, n, ŋ/ are post-oralized before an oral vowel (categorical before a stressed vowel), (3) in FV with full nasals before an unstressed vowel; (4) LN, whereby /j/ is nasalized to [ɲ] before a nasal vowel (categorical before a stressed vowel, in FV with full nasals before an unstressed vowel); and (5) LDNH, whereby /m, n, j, ŋ/ always surface as fully nasal if they precede another nasal consonant or a nasal vowel in the word. Nasal contrast is phonemic only on stressed vowels. While the optionality of the oralization of the nasal vowel is not specified, we inferred from the data that it is optional. This process, however, is coded as LNSyll. 6) We are coding the leftward non-local nasalization of /j/ as LNSyll, although it is not a typical LNSyll process, since it may, according to the author, leave intervening oral vowels and/or consonants unaffected.					
Notes:	No explicit LDNH process is discussed, but in the discussion on the allophony between [N ~ ND], the author notes that [ND] only occurs before an oral vowel, when no other nasal vowel or consonant occurs in the word before the relevant /N/. In this way, LDNH, affecting only nasal consonants, can be inferred, insofar as only [N] is observed before [N/ND/~V]. Relatedly, oral vowels are said to be nasalized immediately before or after [m, n], which may be part of the same LDNH process, but LDNH for vowels is never discussed. Nasality is contrastive only on stressed vowels. We collapsed the enumeration of the allophones of /j/ in the following way: 1) a categorical nasalization into [ɲ] when it is immediately followed by an oral vowel, 2) an optional LDNH nasalization process into [j ~ ɲ] when there is a non-immeidate nasal vowel or consonant to the right. Note that this atypical LDNH has the nasal span of only a single segment. 3) a leftward LN process when it is preceded by a nasal vowel and followed by a nasal vowel, and 4) optional fortition into /ʒ/ when preceding an unstressed oral vowel. 					
Include in SAPhon	Yes					
						
Natural classes:	{V, i, ɛ, ɨ, a, u, ɔ}, {Ṽ, ĩ, ɛ̃, ɨ̃, ã, ũ, ɔ̃}, {T, p, t, k}, {D, b}, {S, s, ʒ}, {R, w, ɾ, j}, {N, m, n, ŋ}					
Allophones:	{{i, i}, {ɛ, ɛ}, {ɨ, ɨ}, {ɨ, ə, $*_#, centralization}, {a, a}, {a, ə, $*_, centralization}, {u, u}, {u, ə, $*_#, centralization}, {ɔ, ɔ}, {ĩ, ĩ}, {ɛ̃, ɛ̃}, {ɨ̃, ɨ̃}, {ã, ã}, {ũ, ũ}, {ɔ̃, ɔ̃}, {i, {i, ĩ}, {{m, n}_, _{m, n}}, ĩ-LN:VtoṼ}, {ɛ, {ɛ, ɛ̃}, {{m, n}_, _{m, n}}, ɛ̃-LN:VtoṼ}, {ɨ, {ɨ, ɨ̃}, {{m, n}_, _{m, n}}, ɨ-LN:VtoṼ}, {a, {a, ã}, {{m, n}_, _{m, n}}, ã-LN:VtoṼ}, {u, {u, ũ}, {{m, n}_, _{m, n}}, ũ-LN:VtoṼ}, {ɔ, {ɔ, ɔ̃}, {{m, n}_, _{m, n}}, ɔ̃-LN:VtoṼ}, {p, p}, {b, {p, b}, _#, p-devoicing}, {b, β, $_, {lenition, spirantization}}, {m, m}, {m, {m, mb}, _V, mb-LO}, {w, w}, {t, t}, {ɾ, ɾ}, {ɾ, {ɾ, t}, _#, t-devoicing}, {n, n}, {n, {n, nd}, _V, LO},  {ŋ, ŋ, {$'_{Ṽ, VN}, _#, $'($)$*_}, preservation}, {ŋ, {ŋ, ŋɡ}, _V, LO}, {s, s}, {s, ʃ, _{i, ɨ}, palatalization}, {ʒ, ʒ}, {ʒ, {ʃ, tʃ}, #_, {ʃ-devoicing, tʃ-fortition}}, {j, j}, {j, {j, ʒ}, $'_V, ʒ-fortition}, {j, {j, ʒ, ɲ}, {V_$'CṼ, _V$'NV, _V$'CVN}, {j-maintenance, ʒ-fortition, ɲ-LDNH:j}}, {j, {j, ɲ}, V_Ṽ, ɲ-LN:R}, {j, ɲ, {$'_Ṽ, $'_VN, _$'NVN}, LNsyll:L}, {k, k}, {m, m, _Ṽ, maintenance}, {n, n, _Ṽ, maintenance}, {ŋ, ŋ, _Ṽ, maintenance}}					
